drug_name,base_drug_name,drug_class,drug_sub_class,therapeutic_category,dosages,route_of_administration,formulation,search_text,source_files
Stannous Fluoride,stannous fluoride,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents,STOMATOLOGICAL PREPARATIONS,[],,,Drug: stannous fluoride | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Caries prophylactic agents | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Previfem Tablet Oral,Previfem,contraceptives,progestin and estrogen combination,,['35 mg'],oral,tablet,Drug: Previfem | Dosages: [35 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Rajani Tablet Oral,Rajani,contraceptives,progestin and estrogen combination,,['0.451 mg'],oral,tablet,Drug: Rajani | Dosages: [0.451 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Gildagia Tablet Oral,Gildagia,contraceptives,progestin and estrogen combination,,['35 mg'],oral,tablet,Drug: Gildagia | Dosages: [35 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Options Conceptrol Gel Vaginal,Options Conceptrol,contraceptives,spermicidal agent,,[],vaginal,gel,Drug: Options Conceptrol | Dosages: [] | Form: gel | Route: vaginal | Class: contraceptives | Subclass: spermicidal agent | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Ogestrel Tablet Oral,Ogestrel,contraceptives,progestin and estrogen combination,,['50 mg'],oral,tablet,Drug: Ogestrel | Dosages: [50 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Xulane Patch Transdermal,Xulane Patch,contraceptives,progestin and estrogen combination transdermal patch,,['35 mcg'],transdermal,,Drug: Xulane Patch | Dosages: [35 mcg] | Form:  | Route: transdermal | Class: contraceptives | Subclass: progestin and estrogen combination transdermal patch | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Orsythia Tablet Oral,Orsythia,contraceptives,progestin and estrogen combination,,['20 mg'],oral,tablet,Drug: Orsythia | Dosages: [20 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Marlissa Tablet Oral,Marlissa,contraceptives,combined oral contraceptive (monophasic),,['30 mg'],oral,tablet,Drug: Marlissa | Dosages: [30 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: combined oral contraceptive (monophasic) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Nexplanon Implant Subcutaneous,Nexplanon,contraceptives,progestin implant,,['68 mg'],subcutaneous,implant,Drug: Nexplanon | Dosages: [68 mg] | Form: implant | Route: subcutaneous | Class: contraceptives | Subclass: progestin implant | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Ella Tablet Oral,Ella,contraceptives,selective progesterone receptor modulator,,['30 mg'],oral,tablet,Drug: Ella | Dosages: [30 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: selective progesterone receptor modulator | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Econtra Ez Tablet Oral,EContra EZ,contraceptives,progestogen-only emergency contraceptive,,['1.5 mg'],oral,tablet,Drug: EContra EZ | Dosages: [1.5 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestogen-only emergency contraceptive | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Cyred Tablet Oral,Cyred,contraceptives,progestin and estrogen combination,,['30 mg'],oral,tablet,Drug: Cyred | Dosages: [30 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Lyleq Tablet Oral,Lyleq,contraceptives,progestin-only oral contraceptive,,['0.35 mg'],oral,tablet,Drug: Lyleq | Dosages: [0.35 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin-only oral contraceptive | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Levonorgestrel-ethinyl Estrad Tablet Oral,Levonorgestrel-Ethinyl Estrad,contraceptives,progestin and estrogen combination,,"['20 mcg', '20 mg', '30 mg']",oral,tablet,"Drug: Levonorgestrel-Ethinyl Estrad | Dosages: [20 mcg, 20 mg, 30 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ",['drug_class_subclass_reference.xlsx']
Zenchent Fe Tablet Oral,Zenchent FE,contraceptives,estrogen and iron combination,,['35 mg'],oral,tablet,Drug: Zenchent FE | Dosages: [35 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: estrogen and iron combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Levonorgest-eth Estrad 91-day Tablet Oral,Levonorgest-Eth Estrad 91-Day,contraceptives,progestin and estrogen combination,,"['0.01 mg', '0.03 mg']",oral,tablet,"Drug: Levonorgest-Eth Estrad 91-Day | Dosages: [0.01 mg, 0.03 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ",['drug_class_subclass_reference.xlsx']
Ethynodiol Diac-eth Estradiol Tablet Oral,Ethynodiol Diac-Eth Estradiol,contraceptives,progestin and estrogen combination,,"['35 mg', '50 mg']",oral,tablet,"Drug: Ethynodiol Diac-Eth Estradiol | Dosages: [35 mg, 50 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ",['drug_class_subclass_reference.xlsx']
Mirena,Mirena,contraceptives,levonorgestrel-releasing intrauterine system,,"['20 mcg', '20 mcg/day', '52 mg']",,,"Drug: Mirena | Dosages: [20 mcg, 20 mcg/day, 52 mg] | Form:  | Route:  | Class: contraceptives | Subclass: levonorgestrel-releasing intrauterine system | Therapeutic: ",['drug_class_subclass_reference.xlsx']
Kyleena Intrauterine,Kyleena INTRAUTERINE,contraceptives,levonorgestrel-releasing intrauterine system,,['19.5 mg'],,,Drug: Kyleena INTRAUTERINE | Dosages: [19.5 mg] | Form:  | Route:  | Class: contraceptives | Subclass: levonorgestrel-releasing intrauterine system | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Shur-seal Contraceptive Gel Vaginal,Shur-Seal Contraceptive,contraceptives,spermicidal agent,,[],vaginal,gel,Drug: Shur-Seal Contraceptive | Dosages: [] | Form: gel | Route: vaginal | Class: contraceptives | Subclass: spermicidal agent | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Today Vaginal,Today,contraceptives,spermicidal contraceptive device,,['1000 mg'],vaginal,,Drug: Today | Dosages: [1000 mg] | Form:  | Route: vaginal | Class: contraceptives | Subclass: spermicidal contraceptive device | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Liletta,Liletta,contraceptives,levonorgestrel-releasing intrauterine system,,"['19.5 mcg/day', '20.1 mcg/day', '52 mg']",,,"Drug: Liletta | Dosages: [19.5 mcg/day, 20.1 mcg/day, 52 mg] | Form:  | Route:  | Class: contraceptives | Subclass: levonorgestrel-releasing intrauterine system | Therapeutic: ",['drug_class_subclass_reference.xlsx']
Levonest Tablet Oral,Levonest,contraceptives,second-generation progestin and synthetic estrogen combination,,['30 mcg'],oral,tablet,Drug: Levonest | Dosages: [30 mcg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: second-generation progestin and synthetic estrogen combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Encare Suppository Vaginal,Encare,contraceptives,spermicidal agent,,['100 mg'],vaginal,suppository,Drug: Encare | Dosages: [100 mg] | Form: suppository | Route: vaginal | Class: contraceptives | Subclass: spermicidal agent | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Tyblume Tablet Oral,Tyblume,contraceptives,estrogen and progestin combination,,['20 mg'],oral,tablet,Drug: Tyblume | Dosages: [20 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: estrogen and progestin combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Reclipsen Tablet Oral,Reclipsen,contraceptives,estrogen and progestin combination,,['30 mg'],oral,tablet,Drug: Reclipsen | Dosages: [30 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: estrogen and progestin combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Larin 1.5/30 Tablet Oral,Larin 1.5/30,contraceptives,progestin and estrogen combination,,['30 mg'],oral,tablet,Drug: Larin 1.5/30 | Dosages: [30 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Loestrin Fe 1/20 Tablet Oral,Loestrin Fe 1/20,contraceptives,estrogen and progestin combination,,['20 mg'],oral,tablet,Drug: Loestrin Fe 1/20 | Dosages: [20 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: estrogen and progestin combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Gianvi Tablet Oral,Gianvi,contraceptives,progestin and estrogen combination,,['0.02 mg'],oral,tablet,Drug: Gianvi | Dosages: [0.02 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Eluryng Vaginal,EluRyng,contraceptives,estrogen and progestin combination,,['0.015 mg'],vaginal,,Drug: EluRyng | Dosages: [0.015 mg] | Form:  | Route: vaginal | Class: contraceptives | Subclass: estrogen and progestin combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Caziant Tablet Oral,Caziant,contraceptives,estrogen and progestin combination,,['0.025 mg'],oral,tablet,Drug: Caziant | Dosages: [0.025 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: estrogen and progestin combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Low-ogestrel Tablet Oral,Low-Ogestrel,contraceptives,progestin and estrogen combination,,['30 mg'],oral,tablet,Drug: Low-Ogestrel | Dosages: [30 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Norethindron-ethinyl Estrad-fe Tablet Oral,Norethindron-Ethinyl Estrad-Fe,contraceptives,progestin and estrogen combination with iron supplement,,['35 mg'],oral,tablet,Drug: Norethindron-Ethinyl Estrad-Fe | Dosages: [35 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination with iron supplement | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Azurette Tablet Oral,Azurette,contraceptives,progestin and estrogen combination,,['0.01 mg'],oral,tablet,Drug: Azurette | Dosages: [0.01 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Etonogestrel-ethinyl Estradiol Vaginal,Etonogestrel-Ethinyl Estradiol,contraceptives,progestin and estrogen combination,,['0.015 mg'],vaginal,,Drug: Etonogestrel-Ethinyl Estradiol | Dosages: [0.015 mg] | Form:  | Route: vaginal | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Simpesse Tablet Oral,Simpesse,contraceptives,progestin and estrogen combination,,['0.01 mg'],oral,tablet,Drug: Simpesse | Dosages: [0.01 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Ayuna Tablet Oral,Ayuna,contraceptives,progestin and estrogen combination,,['30 mg'],oral,tablet,Drug: Ayuna | Dosages: [30 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Vcf Vaginal Contraceptive Film 28 % Vaginal Vaginal,VCF Vaginal Contraceptive Film 28 % Vaginal,contraceptives,spermicidal agent,,[],vaginal,,Drug: VCF Vaginal Contraceptive Film 28 % Vaginal | Dosages: [] | Form:  | Route: vaginal | Class: contraceptives | Subclass: spermicidal agent | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Vcf Vaginal Contraceptive Foam Vaginal,VCF Vaginal Contraceptive,contraceptives,spermicidal agent,,[],vaginal,foam,Drug: VCF Vaginal Contraceptive | Dosages: [] | Form: foam | Route: vaginal | Class: contraceptives | Subclass: spermicidal agent | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Nortrel 7/7/7 Tablet Oral,Nortrel 7/7/7,contraceptives,combined oral contraceptive (triphasic),,['35 mg'],oral,tablet,Drug: Nortrel 7/7/7 | Dosages: [35 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: combined oral contraceptive (triphasic) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Enpresse-28 Tablet Oral,Enpresse-28,contraceptives,estrogen and progestin combination,,['30 mcg'],oral,tablet,Drug: Enpresse-28 | Dosages: [30 mcg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: estrogen and progestin combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Aranelle Tablet Oral,Aranelle,contraceptives,estrogen and progestin combination,,['35 mg'],oral,tablet,Drug: Aranelle | Dosages: [35 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: estrogen and progestin combination | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Chateal Eq Tablet Oral,Chateal EQ,contraceptives,combined oral contraceptive (monophasic),,['30 mg'],oral,tablet,Drug: Chateal EQ | Dosages: [30 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: combined oral contraceptive (monophasic) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Norethin Ace-eth Estrad-fe Tablet Oral,Norethin Ace-Eth Estrad-FE,contraceptives,progestin and estrogen combination,,"['20 mg', '30 mg']",oral,tablet,"Drug: Norethin Ace-Eth Estrad-FE | Dosages: [20 mg, 30 mg] | Form: tablet | Route: oral | Class: contraceptives | Subclass: progestin and estrogen combination | Therapeutic: ",['drug_class_subclass_reference.xlsx']
Triamcinolone Acetonide Paste,Triamcinolone Acetonide,corticosteroids,topical corticosteroid (anti-inflammatory),,['55 mcg/act'],nasal,paste,Drug: Triamcinolone Acetonide | Dosages: [55 mcg/act] | Form: paste | Route: nasal | Class: corticosteroids | Subclass: topical corticosteroid (anti-inflammatory) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Proctozone-hc Cream Rectal,Proctozone-HC,corticosteroids,topical corticosteroid (low potency),,[],rectal,cream,Drug: Proctozone-HC | Dosages: [] | Form: cream | Route: rectal | Class: corticosteroids | Subclass: topical corticosteroid (low potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Procto-med Hc Cream Rectal,Procto-Med HC,corticosteroids,glucocorticoid,,[],rectal,cream,Drug: Procto-Med HC | Dosages: [] | Form: cream | Route: rectal | Class: corticosteroids | Subclass: glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Fluocinolone Acetonide Oil 0.01 % Otic Otic,Fluocinolone Acetonide Oil 0.01 % Otic,corticosteroids,topical corticosteroid (low potency),,[],otic,,Drug: Fluocinolone Acetonide Oil 0.01 % Otic | Dosages: [] | Form:  | Route: otic | Class: corticosteroids | Subclass: topical corticosteroid (low potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Tarpeyo Capsule Oral,Tarpeyo,corticosteroids,non-halogenated glucocorticoid,,['4 mg'],oral,capsule,Drug: Tarpeyo | Dosages: [4 mg] | Form: capsule | Route: oral | Class: corticosteroids | Subclass: non-halogenated glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Hydrocortisone Max St Cream,Hydrocortisone Max St,corticosteroids for dermatological use,topical glucocorticoid,,[],,cream,Drug: Hydrocortisone Max St | Dosages: [] | Form: cream | Route:  | Class: corticosteroids for dermatological use | Subclass: topical glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Betamethasone Valerate Ointment,Betamethasone Valerate,corticosteroids for dermatological use,topical corticosteroid (medium potency),,[],,ointment,Drug: Betamethasone Valerate | Dosages: [] | Form: ointment | Route:  | Class: corticosteroids for dermatological use | Subclass: topical corticosteroid (medium potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Fluocinolone Acetonide Solution,Fluocinolone Acetonide,corticosteroids for dermatological use,topical corticosteroid (low potency),,[],,solution,Drug: Fluocinolone Acetonide | Dosages: [] | Form: solution | Route:  | Class: corticosteroids for dermatological use | Subclass: topical corticosteroid (low potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Betamethasone Dipropionate Aug Ointment,Betamethasone Dipropionate Aug,corticosteroids for dermatological use,topical corticosteroid (high potency),,[],,ointment,Drug: Betamethasone Dipropionate Aug | Dosages: [] | Form: ointment | Route:  | Class: corticosteroids for dermatological use | Subclass: topical corticosteroid (high potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Hydrocortisone Butyr Lipo Base Cream,Hydrocortisone Butyr Lipo Base,corticosteroids for dermatological use,topical corticosteroid (medium potency),,[],,cream,Drug: Hydrocortisone Butyr Lipo Base | Dosages: [] | Form: cream | Route:  | Class: corticosteroids for dermatological use | Subclass: topical corticosteroid (medium potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Hydrocortisone Valerate Cream,Hydrocortisone Valerate,corticosteroids for dermatological use,topical corticosteroid (medium potency),,[],,cream,Drug: Hydrocortisone Valerate | Dosages: [] | Form: cream | Route:  | Class: corticosteroids for dermatological use | Subclass: topical corticosteroid (medium potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Proctocare-hc Cream,ProctoCare-HC,corticosteroids for dermatological use,topical corticosteroid (low potency),,[],rectal,cream,Drug: ProctoCare-HC | Dosages: [] | Form: cream | Route: rectal | Class: corticosteroids for dermatological use | Subclass: topical corticosteroid (low potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Mometasone Furoate Solution,Mometasone Furoate,corticosteroids for dermatological use,topical corticosteroid (medium potency),,['50 mcg/act'],nasal,solution,Drug: Mometasone Furoate | Dosages: [50 mcg/act] | Form: solution | Route: nasal | Class: corticosteroids for dermatological use | Subclass: topical corticosteroid (medium potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Cortibalm Stick 1 % External,Cortibalm Stick 1 % External,corticosteroids for dermatological use,topical corticosteroid (low potency),,[],,,Drug: Cortibalm Stick 1 % External | Dosages: [] | Form:  | Route:  | Class: corticosteroids for dermatological use | Subclass: topical corticosteroid (low potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Hydrocortisone (perianal) Cream,Hydrocortisone (Perianal),corticosteroids for dermatological use,topical corticosteroid,,[],,cream,Drug: Hydrocortisone (Perianal) | Dosages: [] | Form: cream | Route:  | Class: corticosteroids for dermatological use | Subclass: topical corticosteroid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Ala-cort Lotion,Ala-Cort,corticosteroids for dermatological use,topical corticosteroid (low potency),,[],,lotion,Drug: Ala-Cort | Dosages: [] | Form: lotion | Route:  | Class: corticosteroids for dermatological use | Subclass: topical corticosteroid (low potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Proctosol Hc Cream,Proctosol HC,corticosteroids for dermatological use,topical corticosteroid (low potency),,[],rectal,cream,Drug: Proctosol HC | Dosages: [] | Form: cream | Route: rectal | Class: corticosteroids for dermatological use | Subclass: topical corticosteroid (low potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Hydrocortisone Butyrate Ointment,Hydrocortisone Butyrate,corticosteroids for dermatological use,topical corticosteroid (medium potency),,[],,ointment,Drug: Hydrocortisone Butyrate | Dosages: [] | Form: ointment | Route:  | Class: corticosteroids for dermatological use | Subclass: topical corticosteroid (medium potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Procto-pak Cream,Procto-Pak,corticosteroids for dermatological use,topical corticosteroid (low potency),,[],rectal,cream,Drug: Procto-Pak | Dosages: [] | Form: cream | Route: rectal | Class: corticosteroids for dermatological use | Subclass: topical corticosteroid (low potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Noble Formula Hc Solution,Noble Formula HC,corticosteroids for dermatological use,topical corticosteroid (low potency),,[],,solution,Drug: Noble Formula HC | Dosages: [] | Form: solution | Route:  | Class: corticosteroids for dermatological use | Subclass: topical corticosteroid (low potency) | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Dextenza Ophthalmic,Dextenza,corticosteroids for local oral treatment,ophthalmic corticosteroid insert,,['0.4 mg'],ophthalmic,,Drug: Dextenza | Dosages: [0.4 mg] | Form:  | Route: ophthalmic | Class: corticosteroids for local oral treatment | Subclass: ophthalmic corticosteroid insert | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Oralone Paste,Oralone,corticosteroids for local oral treatment,topical corticosteroid,,[],,paste,Drug: Oralone | Dosages: [] | Form: paste | Route:  | Class: corticosteroids for local oral treatment | Subclass: topical corticosteroid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Cortifoam Foam Rectal,Cortifoam,corticosteroids for local use,glucocorticoid,,[],rectal,foam,Drug: Cortifoam | Dosages: [] | Form: foam | Route: rectal | Class: corticosteroids for local use | Subclass: glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Cvs Nasal Allergy Spray Nasal,CVS Nasal Allergy,corticosteroids for nasal use,glucocorticoid receptor agonist,,['55 mcg/act'],nasal,spray,Drug: CVS Nasal Allergy | Dosages: [55 mcg/act] | Form: spray | Route: nasal | Class: corticosteroids for nasal use | Subclass: glucocorticoid receptor agonist | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Nasacort Allergy 24hr Nasal,Nasacort Allergy 24HR,corticosteroids for nasal use,glucocorticoid,,['55 mcg/act'],nasal,,Drug: Nasacort Allergy 24HR | Dosages: [55 mcg/act] | Form:  | Route: nasal | Class: corticosteroids for nasal use | Subclass: glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Flonase Allergy Relief Suspension Nasal,Flonase Allergy Relief,corticosteroids for nasal use,glucocorticoid,,['50 mcg/act'],nasal,suspension,Drug: Flonase Allergy Relief | Dosages: [50 mcg/act] | Form: suspension | Route: nasal | Class: corticosteroids for nasal use | Subclass: glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
"Nasacort Aq Aerosol, Solution Nasal","Nasacort AQ AEROSOL,",corticosteroids for nasal use,glucocorticoid,,['55 mcg/act'],nasal,solution,"Drug: Nasacort AQ AEROSOL, | Dosages: [55 mcg/act] | Form: solution | Route: nasal | Class: corticosteroids for nasal use | Subclass: glucocorticoid | Therapeutic: ",['drug_class_subclass_reference.xlsx']
Nasacort Aq Nasal,Nasacort AQ,corticosteroids for nasal use,glucocorticoid,,['55 mcg/act'],nasal,,Drug: Nasacort AQ | Dosages: [55 mcg/act] | Form:  | Route: nasal | Class: corticosteroids for nasal use | Subclass: glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Sinuva Implant Nasal,Sinuva,corticosteroids for nasal use,intranasal corticosteroid implant,,['1350 mcg'],nasal,implant,Drug: Sinuva | Dosages: [1350 mcg] | Form: implant | Route: nasal | Class: corticosteroids for nasal use | Subclass: intranasal corticosteroid implant | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Hm 24 Hour Nasal Allergy Nasal,HM 24 Hour Nasal Allergy,corticosteroids for nasal use,glucocorticoid,,['55 mcg/act'],nasal,,Drug: HM 24 Hour Nasal Allergy | Dosages: [55 mcg/act] | Form:  | Route: nasal | Class: corticosteroids for nasal use | Subclass: glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Colocort Rectal,Colocort,corticosteroids for rectal use,glucocorticoid,,"['100 mg', '60 ml']",rectal,,"Drug: Colocort | Dosages: [100 mg, 60 ml] | Form:  | Route: rectal | Class: corticosteroids for rectal use | Subclass: glucocorticoid | Therapeutic: ",['drug_class_subclass_reference.xlsx']
A-hydrocort Solution Injection,A-Hydrocort SOLUTION,corticosteroids for systemic use,glucocorticoid,,['100 mg'],,injection,Drug: A-Hydrocort SOLUTION | Dosages: [100 mg] | Form: injection | Route:  | Class: corticosteroids for systemic use | Subclass: glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Dexamethasone Sodium Phosphate Injection,dexAMETHasone Sodium Phosphate,corticosteroids for systemic use,glucocorticoid,,"['20 mg', '4 mg/ml', '5 ml']",ophthalmic,injection,"Drug: dexAMETHasone Sodium Phosphate | Dosages: [20 mg, 4 mg/ml, 5 ml] | Form: injection | Route: ophthalmic | Class: corticosteroids for systemic use | Subclass: glucocorticoid | Therapeutic: ",['drug_class_subclass_reference.xlsx']
Methylprednisolone Sodium Succ Solution Injection,methylPREDNISolone Sodium Succ Solution,corticosteroids for systemic use,glucocorticoid,,"['1000 mg', '125 mg', '40 mg']",,injection,"Drug: methylPREDNISolone Sodium Succ Solution | Dosages: [1000 mg, 125 mg, 40 mg] | Form: injection | Route:  | Class: corticosteroids for systemic use | Subclass: glucocorticoid | Therapeutic: ",['drug_class_subclass_reference.xlsx']
Cortisone Acetate Tablet Oral,Cortisone Acetate,corticosteroids for systemic use,glucocorticoid,,['25 mg'],oral,tablet,Drug: Cortisone Acetate | Dosages: [25 mg] | Form: tablet | Route: oral | Class: corticosteroids for systemic use | Subclass: glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Dexamethasone Intensol Oral,Dexamethasone Intensol,corticosteroids for systemic use,glucocorticoid,,['1 mg/ml'],oral,,Drug: Dexamethasone Intensol | Dosages: [1 mg/ml] | Form:  | Route: oral | Class: corticosteroids for systemic use | Subclass: glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Prednisone Intensol Oral,PredniSONE Intensol,corticosteroids for systemic use,glucocorticoid,,['5 mg/ml'],oral,,Drug: PredniSONE Intensol | Dosages: [5 mg/ml] | Form:  | Route: oral | Class: corticosteroids for systemic use | Subclass: glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Solu-medrol Solution Injection,SOLU-Medrol Solution,corticosteroids for systemic use,glucocorticoid,,"['1000 mg', '125 mg', '40 mg', '500 mg']",,injection,"Drug: SOLU-Medrol Solution | Dosages: [1000 mg, 125 mg, 40 mg, 500 mg] | Form: injection | Route:  | Class: corticosteroids for systemic use | Subclass: glucocorticoid | Therapeutic: ",['drug_class_subclass_reference.xlsx']
Mresvia Suspension Intramuscular,MResvia,corticosteroids for systemic use,glucocorticoid,,"['0.5 ml', '50 mcg']",intramuscular,suspension,"Drug: MResvia | Dosages: [0.5 ml, 50 mcg] | Form: suspension | Route: intramuscular | Class: corticosteroids for systemic use | Subclass: glucocorticoid | Therapeutic: ",['drug_class_subclass_reference.xlsx']
Kenalog-40 Injection,Kenalog-40,corticosteroids for systemic use,glucocorticoid,,['40 mg/ml'],,injection,Drug: Kenalog-40 | Dosages: [40 mg/ml] | Form: injection | Route:  | Class: corticosteroids for systemic use | Subclass: glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Celestone Soluspan Suspension 6 (3-3) Mg/ml Injection,Celestone Soluspan Suspension 6 (3-3) MG/ML,corticosteroids for systemic use,glucocorticoid,,[],,injection,Drug: Celestone Soluspan Suspension 6 (3-3) MG/ML | Dosages: [] | Form: injection | Route:  | Class: corticosteroids for systemic use | Subclass: glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
Aristospan Intra-articular Injection,Aristospan Intra-Articular,corticosteroids for systemic use,glucocorticoid,,['20 mg/ml'],,injection,Drug: Aristospan Intra-Articular | Dosages: [20 mg/ml] | Form: injection | Route:  | Class: corticosteroids for systemic use | Subclass: glucocorticoid | Therapeutic: ,['drug_class_subclass_reference.xlsx']
